Id,Name,Size
1,Affenpinscher,XSmall
2,Afghan hound,Large
3,Airedale terrier,Large
4,Akita,XLarge
5,Alaskan klee kai,Medium
6,Alaskan malamute,Large
7,American bulldog,Large
8,American english coonhound,Large
9,American eskimo dog,Small
10,American foxhound,Large
11,American hairless terrier,Small
12,American leopard hound,Large
13,American staffordshire terrier,Medium
14,American water spaniel,Medium
15,Anatolian shepherd dog,XLarge
16,Appenzeller sennenhund,Medium
17,Australian cattle dog,Medium
18,Australian kelpie,Medium
19,Australian shepherd,Medium
20,Australian stumpy tail cattle dog,Medium
21,Australian terrier,Small
22,Azawakh,Large
23,Barbado da terceira,Medium
24,Barbet,Medium
25,Basenji,Small
26,Basset fauve de bretagne,Medium
27,Basset hound,Medium
28,Bavarian mountain scent hound,Medium
29,Beagle,Small
30,Bearded collie,Medium
31,Beauceron,Large
32,Bedlington terrier,Small
33,Belgian laekenois,Medium
34,Belgian malinois,Large
35,Belgian sheepdog,Large
36,Belgian tervuren,Large
37,Bergamasco sheepdog,Large
38,Berger picard,Large
39,Bernese mountain dog,XLarge
40,Bichon frise,Small
41,Biewer terrier,XSmall
42,Black and tan coonhound,Large
43,Black russian terrier,Large
44,Bloodhound,Large
45,Bluetick coonhound,Large
46,Boerboel,XLarge
47,Bohemian shepherd,Medium
48,Bolognese,XSmall
49,Border collie,Medium
50,Border terrier,Small
51,Borzoi,XLarge
52,Boston terrier,Small
53,Bouvier des flandres,Large
54,Boxer,Large
55,Boykin spaniel,Medium
56,Bracco italiano,Large
57,Braque du bourbonnais,Medium
58,Braque francais pyrenean,Medium
59,Briard,Large
60,Brittany,Medium
61,Broholmer,XLarge
62,Brussels griffon,XSmall
63,Bull terrier,Medium
64,Bulldog,Medium
65,Bullmastiff,XLarge
66,Cairn terrier,Small
67,Canaan dog,Medium
68,Cane corso,Large
69,Cardigan welsh corgi,Small
70,Carolina dog,Medium
71,Catahoula leopard dog,Large
72,Caucasian shepherd dog,XLarge
73,Cavalier king charles spaniel,Small
74,Central asian shepherd dog,Large
75,Cesky terrier,Small
76,Chesapeake bay retriever,Large
77,Chihuahua,XSmall
78,Chinese crested,XSmall
79,Chinese shar-pei,Medium
80,Chinook,Large
81,Chow chow,Medium
82,Cirneco dell¡¯etna,Medium
83,Clumber spaniel,Medium
84,Cocker spaniel,Small
85,Collie,Medium
86,Coton de tulear,Small
87,Croatian sheepdog,Medium
88,Curly-Coated retriever,Large
89,Czechoslovakian vlcak,Medium
90,Dachshund,Small
91,Dalmatian,Medium
92,Dandie dinmont terrier,Small
93,Danish-Swedish farmdog,Small
94,Deutscher wachtelhund,Medium
95,Doberman pinscher,Large
96,Dogo argentino,Large
97,Dogue de bordeaux,XLarge
98,Drentsche patrijshond,Medium
99,Drever,Medium
100,Dutch shepherd,Medium
101,English cocker spaniel,Medium
102,English foxhound,Large
103,English setter,Medium
104,English springer spaniel,Medium
105,English toy spaniel,Small
106,Entlebucher mountain dog,Medium
107,Estrela mountain dog,Large
108,Eurasier,Medium
109,Field spaniel,Medium
110,Finnish lapphund,Medium
111,Finnish spitz,Medium
112,Flat-Coated retriever,Medium
113,French bulldog,Small
114,French spaniel,Medium
115,German longhaired pointer,Large
116,German pinscher,Medium
117,German shepherd dog,Large
118,German shorthaired pointer,Medium
119,German spitz,Small
120,German wirehaired pointer,Medium
121,Giant schnauzer,Large
122,Glen of imaal terrier,Small
123,Golden retriever,Large
124,Gordon setter,Large
125,Grand basset griffon vend¨¦en,Medium
126,Great dane,XLarge
127,Great pyrenees,XLarge
128,Greater swiss mountain dog,XLarge
129,Greyhound,Large
130,Hamiltonstovare,Medium
131,Hanoverian scenthound,Large
132,Harrier,Medium
133,Havanese,Small
134,Hokkaido,Medium
135,Hovawart,Large
136,Ibizan hound,Large
137,Icelandic sheepdog,Medium
138,Irish red and white setter,Large
139,Irish setter,Large
140,Irish terrier,Medium
141,Irish water spaniel,Large
142,Irish wolfhound,XLarge
143,Italian greyhound,Small
144,Jagdterrier,Small
145,Japanese akitainu,Medium
146,Japanese chin,XSmall
147,Japanese spitz,Small
148,Japanese terrier,XSmall
149,Jindo,Medium
150,Kai ken,Medium
151,Karelian bear dog,Medium
152,Keeshond,Medium
153,Kerry blue terrier,Medium
154,Kishu ken,Medium
155,Komondor,Large
156,Kromfohrlander,Medium
157,Kuvasz,Large
158,Labrador retriever,Large
159,Lagotto romagnolo,Medium
160,Lakeland terrier,Small
161,Lancashire heeler,Small
162,Lapponian herder,Medium
163,Leonberger,XLarge
164,Lhasa apso,Small
165,L?wchen,Small
166,Maltese,XSmall
167,Manchester terrier (standard),Small
168,Manchester terrier (toy),XSmall
169,Mastiff,XLarge
170,Miniature american shepherd,Medium
171,Miniature bull terrier,Small
172,Miniature pinscher,XSmall
173,Miniature schnauzer,Small
